City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Besikduzu,TR,2021-03-23 15:46:54,41.052,39.2284,48.2,100,75,10.36
186,Setermoen,NO,2021-03-23 15:46:54,68.861,18.3486,37.4,70,75,16.11
187,La Rioja,ES,2021-03-23 15:42:44,42.25,-2.5,66.2,27,0,10.36
188,Ziarat,PK,2021-03-23 15:46:55,30.3823,67.7282,46.67,31,0,10.33
189,Kurchum,KZ,2021-03-23 15:46:55,48.5722,83.6542,25.07,88,98,5.3
190,Stykkisholmur,IS,2021-03-23 15:46:55,65.0757,-22.7297,35.73,59,74,8.57
191,Sinnamary,GF,2021-03-23 15:46:56,5.3833,-52.95,78.49,87,99,10.89
192,Yendi,GH,2021-03-23 15:46:56,9.4427,-0.0099,98.96,25,100,2.93
193,Lafia,NG,2021-03-23 15:46:56,8.4833,8.5167,91.96,39,77,7.72
194,Moustheni,GR,2021-03-23 15:46:57,40.8667,24.1167,48.2,49,40,14.97
195,Mar Del Plata,AR,2021-03-23 15:42:25,-38.0023,-57.5575,71.6,68,40,9.22
196,Mamallapuram,IN,2021-03-23 15:46:58,12.6264,80.1722,80.6,74,20,8.05
197,Tasiilaq,GL,2021-03-23 15:46:58,65.6145,-37.6368,19.4,49,75,8.05
198,Kinsale,IE,2021-03-23 15:42:03,51.7075,-8.5306,51.01,81,75,20.71
199,Gilbues,BR,2021-03-23 15:46:58,-9.8317,-45.3439,85.19,50,81,6.69
200,Pangnirtung,CA,2021-03-23 15:46:59,66.1451,-65.7125,-25.6,62,20,2.3
201,Bloomfield,US,2021-03-23 15:44:02,40.8068,-74.1854,59.0,54,1,4.61
202,Port Blair,IN,2021-03-23 15:46:59,11.6667,92.75,82.65,79,94,6.87
203,Shelburne,CA,2021-03-23 15:46:59,44.0787,-80.2041,63.0,25,20,5.75
204,Silifke,TR,2021-03-23 15:47:00,36.3778,33.9344,59.94,87,88,4.45
205,Camopi,GF,2021-03-23 15:47:00,3.1655,-52.3158,78.24,93,98,4.72
206,Ixtapa,MX,2021-03-23 15:47:00,20.7,-105.2,66.2,63,1,3.44
207,Edgewater,US,2021-03-23 15:45:15,28.9889,-80.9023,72.0,83,75,5.75
208,Meulaboh,ID,2021-03-23 15:47:01,4.1363,96.1285,78.13,84,99,1.03
209,Visby,SE,2021-03-23 15:47:01,57.6409,18.296,51.8,46,0,8.05
210,Elk Point,US,2021-03-23 15:47:02,42.6833,-96.6836,46.0,78,100,7.0
211,San Jose,US,2021-03-23 15:43:24,37.3394,-121.895,52.0,76,20,10.36
212,Olenino,RU,2021-03-23 15:47:02,56.2092,33.4889,23.25,88,84,3.13
213,Esperance,AU,2021-03-23 15:43:33,-33.8667,121.9,59.0,72,90,4.61
214,Bermeo,ES,2021-03-23 15:47:03,43.4209,-2.7215,64.4,45,0,9.22
215,Mersing,MY,2021-03-23 15:47:03,2.4312,103.8405,78.8,94,100,3.44
216,Kawalu,ID,2021-03-23 15:45:02,-7.3817,108.2082,73.9,97,100,0.65
217,Teguldet,RU,2021-03-23 15:47:04,57.3064,88.1667,15.1,98,27,2.17
218,Akyab,MM,2021-03-23 15:47:04,20.15,92.9,80.22,79,0,0.96
219,Coolum Beach,AU,2021-03-23 15:47:05,-26.5333,153.1,77.0,91,79,1.01
220,Guatire,VE,2021-03-23 15:47:05,10.4762,-66.5427,84.2,79,40,5.75
221,Bonavista,CA,2021-03-23 15:47:05,48.6499,-53.1147,55.4,26,2,14.97
222,Kahului,US,2021-03-23 15:47:06,20.8947,-156.47,64.0,100,1,2.84
223,Luderitz,NA,2021-03-23 15:47:06,-26.6481,15.1594,71.33,66,15,7.34
224,Noumea,NC,2021-03-23 15:47:06,-22.2763,166.4572,68.0,88,0,2.3
225,Damietta,EG,2021-03-23 15:47:07,31.4165,31.8133,66.2,72,75,21.85
226,Morley,GB,2021-03-23 15:45:04,53.7401,-1.5988,53.01,63,76,15.01
227,Kuching,MY,2021-03-23 15:47:07,1.55,110.3333,78.8,94,40,1.14
228,Natal,BR,2021-03-23 15:47:07,-5.795,-35.2094,87.8,58,40,12.66
229,Saint-Joseph,RE,2021-03-23 15:47:08,-21.3667,55.6167,82.4,78,90,1.14
230,Sao Filipe,CV,2021-03-23 15:47:08,14.8961,-24.4956,70.11,77,8,10.58
231,Ostrovnoy,RU,2021-03-23 15:47:09,68.0531,39.5131,29.23,87,88,22.73
232,Talnakh,RU,2021-03-23 15:47:10,69.4865,88.3972,0.48,96,100,8.14
233,Matara,LK,2021-03-23 15:47:10,5.9485,80.5353,79.66,86,99,10.54
234,Kathmandu,NP,2021-03-23 15:43:27,27.7167,85.3167,68.0,45,20,3.44
235,Khatanga,RU,2021-03-23 15:47:11,71.9667,102.5,-13.41,93,100,3.89
236,Agadez,NE,2021-03-23 15:47:11,19.75,10.25,87.4,11,14,14.72
237,Sokolo,ML,2021-03-23 15:47:11,14.7328,-6.1219,100.47,10,64,13.85
238,Wuda,CN,2021-03-23 15:47:12,39.4994,106.7117,48.78,17,85,4.12
239,Portobelo,PA,2021-03-23 15:47:12,9.55,-79.65,84.0,64,43,35.01
240,Chapais,CA,2021-03-23 15:47:12,49.7834,-74.8492,39.2,70,1,3.44
241,Ucluelet,CA,2021-03-23 15:47:13,48.9329,-125.5528,39.0,100,90,2.3
242,Preobrazheniye,RU,2021-03-23 15:47:13,42.9019,133.9064,35.58,80,51,5.35
243,Kavaratti,IN,2021-03-23 15:47:13,10.5669,72.642,83.52,70,0,7.2
244,Punta Alta,AR,2021-03-23 15:47:14,-38.8759,-62.0736,78.69,37,0,12.41
245,Cabo San Lucas,MX,2021-03-23 15:43:27,22.8909,-109.9124,64.4,68,1,3.56
246,Clyde River,CA,2021-03-23 15:47:14,70.4692,-68.5914,-14.8,64,75,12.66
247,Charters Towers,AU,2021-03-23 15:47:14,-20.1,146.2667,77.13,80,92,3.02
248,Brae,GB,2021-03-23 15:47:15,60.3964,-1.353,48.2,76,40,20.71
249,Ramanuj Ganj,IN,2021-03-23 15:47:15,23.8,83.7,77.5,24,53,4.52
250,Vostok,RU,2021-03-23 15:47:16,46.4856,135.8833,25.45,97,95,5.01
251,Starosubkhangulovo,RU,2021-03-23 15:47:16,53.1031,57.4423,21.96,97,100,4.38
252,San Carlos De Bariloche,AR,2021-03-23 15:47:17,-41.1456,-71.3082,62.6,42,40,25.32
253,Mumford,GH,2021-03-23 15:47:17,5.2618,-0.759,82.49,74,100,14.12
254,Kaman,IN,2021-03-23 15:47:18,27.65,77.2667,72.3,46,71,4.59
